Word,Count
company,3051
investment,3051
financial,2588
assets,2215
market,2107
asset,1886
capital,1837
institute,1792
return,1763
candidate,1742
income,1705
portfolio,1624
example,1576
equity,1507
distribution,1502
value,1457
information,1424
management,1370
exhibit,1320
investors,1212
interest,1190
million,1188
standard,1182
price,1150
standards,1124
clients,1114
learning,1110
companies,1106
module,1095
total,1093
correct,1080
business,1006
percent,1001
performance,959
investments,954
based,910
funds,909
operating,906
following,882
analysis,872
returns,861
costs,859
members,856
higher,841
solution,840
statement,829
client,820
profit,787
inventory,764
candidates,755
period,750
exchange,748
private,735
sales,730
policy,721
revenue,719
expected,718
investor,716
current,710
increase,703
stock,693
ratio,686
accounting,673
economic,658
statements,653
flows,641
likely,634
securities,618
analyst,611
average,599
trade,598
rates,590
expense,581
risks,579
growth,573
research,571
lower,568
reporting,567
level,566
public,549
industry,547
balance,545
future,542
shares,542
hedge,539
common,536
change,534
include,534
years,523
earnings,522
firms,520
accounts,520
short,517
currency,515
markets,515
model,503
report,492
corporate,490
ratios,489
liabilities,488
process,480
result,479
including,477
liquidity,475
managers,473
prices,469
changes,469
different,468
share,452
structure,451
country,448
countries,447
financing,444
taxes,441
potential,440
activities,439
inflation,437
conduct,435
government,431
required,430
services,430
professional,425
manager,425
provide,423
factors,419
limited,418
decision,415
typically,413
incorrect,409
shareholders,407
reported,407
quality,406
impact,405
investing,403
member,400
important,400
analysts,399
allocation,396
number,394
global,394
related,394
products,392
results,392
specific,391
expenses,389
margin,386
making,386
given,384
benefit,383
large,382
individual,382
practice,382
basis,379
estate,378
policies,376
security,376
trading,372
compensation,372
method,368
cycle,367
sheet,367
monetary,362
credit,361
greater,361
alternative,358
reports,357
fiscal,357
direct,356
demand,351
fixed,349
relative,348
terms,344
invest,343
economy,336
depreciation,331
product,329
operations,327
customers,319
digital,318
gross,316
lease,313
employer,312
consider,311
employees,310
significant,310
portfolios,309
goods,309
compliance,308
strategy,307
governance,306
available,306
central,305
procedures,302
board,302
general,300
international,297
control,295
increases,294
describe,294
benefits,294
deferred,292
money,290
affect,289
additional,288
personal,288
ethics,287
foreign,286
actions,286
ethical,285
activity,284
increased,284
objectives,280
ability,279
equipment,278
annual,278
material,277
infrastructure,275
decisions,275
shown,274
account,274
turnover,273
service,270
certain,269
pension,268
index,265
group,263
disclosure,263
payments,262
generally,262
requirements,262
effect,261
risky,261
provides,261
bonds,258
interests,258
position,257
approach,256
domestic,256
measure,256
strategies,256
liability,255
states,254
prior,253
appropriate,253
measures,253
production,252
transactions,252
require,250
negative,250
classes,249
models,247
legal,247
united,246
program,246
ownership,245
leverage,244
useful,242
point,241
banks,241
considered,241
dollar,241
forward,240
similar,239
shows,238
defined,238
effective,236
purchase,236
losses,235
relationship,234
issuer,233
source,233
development,231
organization,231
addition,230
knowledge,228
major,226
output,226
revenues,226
world,225
individuals,224
pricing,223
answer,223
profitability,223
sources,223
types,223
property,222
working,222
equal,221
guidance,221
comment,221
regulatory,221
stocks,221
profits,220
payable,220
associated,219
usually,218
corporation,217
characteristics,217
target,216
provided,214
valuation,212
single,211
differences,211
framework,209
options,209
requires,209
possible,208
choices,208
reduce,208
problems,207
items,206
